,road,km,Criticality,type,LRPName,name,length,condition,structureNr,roadName,chainage,width,constructionYear,spans,zone,circle,division,sub-division,lat,lon,EstimatedLoc,average_delay,Road_segment_no,Road_segment_label
25,N1,26.115,,Box Culvert,LRP026a,TATULTALA CULVERT,5.6,A,101132,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,26.115,10.3,1989.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.59298188,90.62796994,interpolate,,N1-9,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left)
26,N1,26.451999999999998,,Box Culvert,LRP026b,BAILAKANDI CULVERT,5.5,A,101142,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,26.451999999999998,20.9,1989.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.59080885,90.63023686,interpolate,,N1-9,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left)
27,N1,27.12,,Box Culvert,LRP027a,MALUAKANDI CULVEDRT,5.6,A,101150,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,27.12,21.0,1989.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.58631812,90.63450942,interpolate,,N1-9,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left)
28,N1,28.315,,PC Girder Bridge,LRP028b,Bhater char Bridge (L),172.1,A,119976,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,28.315,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.57798002,90.64191931,interpolate,,N1-9,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left)
29,N1,28.315,,PC Girder Bridge,LRP028a,Bhater char Bridge (R),173.25,A,119973,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,28.315,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.57798002,90.64191931,interpolate,,N1-9,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left)
30,N1,28.315,,PC Girder Bridge,LRP028a,BHATIR CHAR BRIDGE,163.5,A,101101,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,28.315,9.2,2000.0,6.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.57798002,90.64191931,interpolate,,N1-9,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left)
31,N1,29.138,,PC Girder Bridge,LRP029a,Anarpara Bridge (L),29.85,A,119977,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,29.138,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.57163063,90.64541592,interpolate,,N1-9,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left)
32,N1,29.138,,PC Girder Bridge,LRP029b,Anarpara Bridge (R),29.77,A,119980,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,29.138,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.57163063,90.64541592,interpolate,,N1-9,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left)
33,N1,29.138,,PC Girder Bridge,LRP029a,ANARPUR BRIDGE(R),29.0,A,101108,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,29.138,9.3,2004.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.57163063,90.64541592,interpolate,,N1-9,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left)
34,N1,29.138,,PC Girder Bridge,LRP029a,ANAR PURA BRIDGE(L),29.0,A,101104,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,29.138,9.3,2004.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.57163063,90.64541592,interpolate,,N1-9,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left)
35,N1,29.842,,Box Culvert,LRP030a,VITIKANDA - ANAR PUR CULVERT,34.7,A,101113,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,29.842,21.0,1992.0,7.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.5660034,90.64862372,interpolate,,N1-9,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left)
36,N1,30.908,,PC Girder Bridge,LRP031a,Alipur bridge(R),27.4,A,120009,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,30.908,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.55919103,90.65574757,interpolate,,N1-9,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left)
37,N1,30.908,,PC Girder Bridge,LRP031a,Alipur bridge(L),27.4,A,120012,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,30.908,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.55919103,90.65574757,interpolate,,N1-9,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left)
38,N1,30.908,,PC Girder Bridge,LRP031a,ALI PURA P.C BRIDGE (RIGHT),26.3,A,101120,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,30.908,9.2,2004.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.55919103,90.65574757,interpolate,,N1-9,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left)
39,N1,31.471999999999998,,PC Girder Bridge,LRP032a,Bhaber char Bridge(R),29.85,A,120017,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,31.471999999999998,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.55570829,90.65974142,interpolate,,N1-10,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left)
40,N1,31.471999999999998,,PC Girder Bridge,LRP032b,Bhaber char Bridge(L),29.83,A,120022,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,31.471999999999998,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.55570829,90.65974142,interpolate,,N1-10,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left)
41,N1,31.471999999999998,,PC Girder Bridge,LRP032a,VOBAR CHAR (L),29.0,A,109831,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,31.471999999999998,9.2,2003.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.55570829,90.65974142,interpolate,,N1-10,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left)
42,N1,31.471999999999998,,PC Girder Bridge,LRP032a,VOBAR CHAR BRIDGE(R),29.0,A,109826,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,31.471999999999998,9.2,2003.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.55570829,90.65974142,interpolate,,N1-10,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left)
43,N1,32.121,,PC Girder Bridge,LRP032d,Baushia Bridge(R),29.87,A,120025,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,32.121,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.55174219,90.66435388,interpolate,,N1-10,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left)
44,N1,32.121,,PC Girder Bridge,LRP032e,Baushia Bridge(L),29.9,A,120026,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,32.121,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.55174219,90.66435388,interpolate,,N1-10,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left)
45,N1,32.121,,PC Girder Bridge,LRP032d,BOBARCHAR BRIDGE(L),28.9,A,109825,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,32.121,9.2,2004.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.55174219,90.66435388,interpolate,,N1-10,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left)
46,N1,32.121,,PC Girder Bridge,LRP032d,BOBAIRCHAR BRIDGE(R),28.9,A,109832,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,32.121,9.2,2004.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.55174219,90.66435388,interpolate,,N1-10,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left)
47,N1,32.777,,Box Culvert,LRP033a,PURRANBUICHE BOX CULVERT,9.1,A,109843,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,32.777,21.0,2002.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.54773774,90.66905541,interpolate,,N1-10,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left)
48,N1,32.796,,Box Culvert,LRP033b,NOYAPARA,5.2,A,112533,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,32.796,12.2,1992.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.54762464,90.66919207,interpolate,,N1-10,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left)
49,N1,33.591,,PC Girder Bridge,LRP034a,Madhya Baushia Bridge(L),72.49,A,120028,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,33.591,9.15,2000.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.54268543,90.67482921,interpolate,,N1-10,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left)
50,N1,33.591,,PC Girder Bridge,LRP034a,MADHAYA BAUSHIA BRIDGE(R),59.2,A,109845,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,33.591,9.2,2000.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.54268543,90.67482921,interpolate,,N1-10,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left)
51,N1,33.591,,PC Girder Bridge,LRP034a,MADHAYA BAUSHIA(L),70.0,A,109839,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,33.591,9.2,2000.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.54268543,90.67482921,interpolate,,N1-10,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left)
52,N1,33.591,,PC Girder Bridge,LRP034b,Madhya Baushia Bridge(R),59.83,A,120029,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,33.591,10.15,2000.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.54268543,90.67482921,interpolate,,N1-10,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left)
53,N1,35.181,,Box Culvert,LRP035a,.,9.5,A,117863,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,35.181,21.2,2000.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.53277519,90.68587011,interpolate,,N1-10,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left)
54,N1,35.408,,PC Girder Bridge,LRP036a,Baushia bazar Bridge( L ),25.45,A,120030,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,35.408,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.53139966,90.68744893,interpolate,,N1-10,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left)
55,N1,35.408,,PC Girder Bridge,LRP036b,Baushia bazar Bridge ( R ),25.45,A,120031,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,35.408,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.53139966,90.68744893,interpolate,,N1-10,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left)
56,N1,35.707,,Box Culvert,LRP036c,CHAR BOUSHEA (2),8.4,A,101125,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,35.707,21.1,1998.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.53015196,90.68979518,interpolate,,N1-10,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left)
57,N1,37.01,,PC Box,LRP037a,Daudkandi Bridge.,1408.8,A,120033,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,37.01,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.53038447,90.70244027,interpolate,,N1-11,Daudkandi Bridge- Daudkandi Z1062 (Left)
58,N1,48.38399999999999,,RCC Girder Bridge,LRP049a,Ginlatoly bridge,15.9,A,120392,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,48.38399999999999,,,,Comilla,Comilla,Comilla,Gouripur,23.53182348,90.81101551,interpolate,,N1-14,Gouripur (Int.with Z1044) - Eliotganj Z1042 (Left)
59,N1,50.558,,Box Culvert,LRP051a,RAIPUR BOX CULVERT,12.2,A,101147,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,50.558,11.6,1988.0,2.0,Comilla,Comilla,Comilla,Gouripur,23.53297433,90.83097748,interpolate,,N1-14,Gouripur (Int.with Z1044) - Eliotganj Z1042 (Left)
60,N1,63.538000000000004,,Box Culvert,LRP064c,SONAPUR BOX CULVERT,3.0,A,101169,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,63.538000000000004,12.4,1992.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.50135519,90.94738441,interpolate,,N1-16,Madhaya Z1017 - Chandina Z1022 (Left)
61,N1,68.04,,Box Culvert,LRP068a,MILL GHAT BOX CULVERT,4.5,A,101175,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,68.04,8.3,1991.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.49327281,90.98872004,interpolate,,N1-16,Madhaya Z1017 - Chandina Z1022 (Left)
62,N1,76.48100000000001,,Slab Culvert,LRP077a,NIMSHAR SLAB CULVERT,1.5,A,101189,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,76.48100000000001,12.3,1999.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.48061309,91.06740977,interpolate,,N1-18,Nimsar (Int.with Z1219 & Z1028) - Mainamati N102 (Left)
63,N1,82.43700000000001,,Box Culvert,LRP083a,TIPRA BAZAR BOX CULVERT,1.4,A,101200,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,82.43700000000001,12.2,1993.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.47940839,91.12389208,interpolate,,N1-19,Mainamati N102- Int.with Z1029 (Left)
64,N1,82.98899999999999,,Slab Culvert,LRP083b,AMTOLI SLAB CULVERT,2.9,A,101202,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,82.98899999999999,12.0,1985.0,1.0,Comilla,Comilla,Comilla,Comilla,23.47954492,91.12904714,interpolate,,N1-19,Mainamati N102- Int.with Z1029 (Left)
65,N1,87.713,,RCC Girder Bridge,LRP088a,DHANPUR RCC GIDER BRIDGE,23.4,A,101205,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,87.713,9.2,1988.0,3.0,Comilla,Comilla,Comilla,Comilla,23.44363396,91.14936682,interpolate,,N1-21,Int.with Z1052 - Changani (Kotbari) (Left)
66,N1,97.257,,RCC Girder Bridge,LRP098a,RAZAPARA RCC GIDER BRIDGE,27.9,A,101218,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,97.257,9.2,1995.0,3.0,Comilla,Comilla,Comilla,Comilla,23.39765182,91.22342213,interpolate,,N1-23,Paduar Bazar Biswa Rd. R140 - Miabazar Z1046 (Left)
67,N1,100.93799999999999,,RCC Girder Bridge,LRP101a,Suagazi Bridge.,30.48,A,120403,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,100.93799999999999,,,,Comilla,Comilla,Comilla,Comilla,23.37136478,91.24501754,interpolate,,N1-23,Paduar Bazar Biswa Rd. R140 - Miabazar Z1046 (Left)
68,N1,100.93799999999999,,RCC Girder Bridge,LRP101a,SUAGAZI RCC GIDER BRIDGE,30.4,A,101220,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,100.93799999999999,9.2,1990.0,4.0,Comilla,Comilla,Comilla,Comilla,23.37136478,91.24501754,interpolate,,N1-23,Paduar Bazar Biswa Rd. R140 - Miabazar Z1046 (Left)
69,N1,104.75299999999999,,Box Culvert,LRP105a,CHANSIRI BOXCUIVERT,14.3,A,101225,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,104.75299999999999,8.5,1974.0,3.0,Comilla,Comilla,Comilla,Comilla,23.34267147,91.26448564,interpolate,,N1-23,Paduar Bazar Biswa Rd. R140 - Miabazar Z1046 (Left)
70,N1,106.51899999999999,,Box Culvert,LRP107a,MIABAZAR BOX CULVERT,24.0,A,101227,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,106.51899999999999,10.4,1974.0,5.0,Comilla,Comilla,Comilla,Comilla,23.33014623,91.27487928,interpolate,,N1-24,Miabazar Z1046 - Chauddagram(Int.with Z1045) (Left)
71,N1,108.125,,Box Culvert,LRP109a,NOYA BAZER BOX CULVERT,9.2,A,101230,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,108.125,11.5,1990.0,2.0,Comilla,Comilla,Comilla,Comilla,23.31806969,91.28308673,interpolate,,N1-24,Miabazar Z1046 - Chauddagram(Int.with Z1045) (Left)
72,N1,110.551,,Box Culvert,LRP111a,LALGORE BEZER CULVERT,3.2,A,101135,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,110.551,12.2,1986.0,1.0,Comilla,Comilla,Comilla,Comilla,23.29796753,91.29101414,interpolate,,N1-24,Miabazar Z1046 - Chauddagram(Int.with Z1045) (Left)
73,N1,111.509,,Box Culvert,LRP112a,SUPUYA BOX CULVERT,13.4,A,101138,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,111.509,8.4,1986.0,3.0,Comilla,Comilla,Comilla,Comilla,23.28970664,91.29295847,interpolate,,N1-24,Miabazar Z1046 - Chauddagram(Int.with Z1045) (Left)
